cityid,city,country,date,Lat,Lng,max_temp,humidity,wind_speed,clouds
233,aquiraz,BR,1603937053,-3.9,-38.39,80.6,78,9.17,40
234,guangzhou,CN,1603936861,23.12,113.25,75.0,78,6.71,90
235,luena,AO,1603936952,-11.78,19.92,62.89,93,2.26,100
236,bratsk,RU,1603937054,56.13,101.61,30.2,100,6.71,93
237,coquimbo,CL,1603936996,-29.95,-71.34,53.6,81,3.36,0
238,saint george,US,1603936524,37.1,-113.58,64.4,16,9.17,1
239,kloulklubed,PW,1603936426,7.04,134.26,86.0,70,10.29,75
240,irbeyskoye,RU,1603937056,55.64,95.45,34.7,81,14.85,62
241,chase,CA,1603936964,50.82,-119.69,39.2,93,1.12,100
242,mahanoro,MG,1603936829,-19.9,48.8,70.16,90,5.59,8
243,lere,NG,1603937056,10.39,8.57,68.5,36,1.97,4
244,flin flon,CA,1603937057,54.77,-101.86,17.87,87,2.59,94
245,big rapids,US,1603937057,43.7,-85.48,41.0,75,5.88,90
246,oyama,JP,1603937057,36.3,139.8,75.0,52,9.17,20
247,manono,CD,1603937058,-7.3,27.42,71.76,87,2.3,97
248,necochea,AR,1603937058,-38.55,-58.74,53.01,74,17.0,11
249,ocos,GT,1603937058,14.51,-92.19,80.6,100,6.98,75
250,sola,VU,1603937059,-13.88,167.55,80.47,79,19.33,22
251,tuatapere,NZ,1603937059,-46.13,167.68,61.0,70,5.01,30
252,musiri,IN,1603937059,10.93,78.45,77.0,83,3.36,20
253,dauphin,CA,1603937060,51.15,-100.05,24.8,79,4.7,90
254,senekal,ZA,1603937060,-28.32,27.62,66.2,54,14.07,5
255,erzin,TR,1603937060,36.96,36.2,70.0,81,1.99,3
256,faanui,PF,1603937061,-16.48,-151.75,79.83,80,14.85,33
257,tadine,NC,1603937061,-21.55,167.88,77.76,61,12.06,0
258,provideniya,RU,1603937061,64.38,-173.3,28.4,68,6.71,75
259,san luis,AR,1603937062,-33.3,-66.34,52.93,44,4.61,0
260,vostok,RU,1603936265,46.49,135.88,29.77,98,11.16,100
261,port-gentil,GA,1603936944,-0.72,8.78,78.55,86,9.37,87
262,rudersdorf,AT,1603937062,47.04,16.14,51.01,72,2.55,24
263,rawson,AR,1603937063,-43.3,-65.1,48.18,56,5.1,0
264,xiongyue,CN,1603937063,40.18,122.12,53.92,42,4.21,100
265,northam,GB,1603937063,51.03,-4.22,54.0,91,7.0,100
266,roma,US,1603937064,43.21,-75.46,39.99,93,4.63,1
267,itupiranga,BR,1603937064,-5.13,-49.33,78.98,77,1.48,86
268,petropavlovsk-kamchatskiy,RU,1603936532,53.05,158.65,42.8,81,4.47,40
269,launceston,AU,1603936536,-41.45,147.17,66.0,51,4.7,75
270,laramie,US,1603937065,41.31,-105.59,24.8,73,2.59,1
271,otjimbingwe,NA,1603937065,-22.35,16.13,65.03,30,3.65,47
272,high level,CA,1603937065,58.52,-117.14,26.6,100,2.24,90
273,esperance,AU,1603937066,-33.87,121.9,62.6,59,10.29,0
274,mandurah,AU,1603937066,-32.55,115.7,75.0,43,5.01,0
275,semporna,MY,1603936789,4.48,118.61,75.2,100,4.81,40
276,buala,SB,1603936519,-8.14,159.59,78.19,88,4.05,100
277,bosaso,SO,1603936339,11.28,49.18,76.3,71,2.89,21
278,cabo san lucas,MX,1603937068,22.89,-109.91,77.0,61,8.05,20
279,kottagudem,IN,1603937069,17.55,80.63,73.62,78,2.35,21
280,faya,SA,1603937069,18.39,42.45,53.6,29,4.92,0
281,altay,CN,1603937069,47.87,88.12,32.79,87,1.79,100
282,matara,LK,1603937069,5.95,80.54,79.9,80,5.79,92
283,kupang,ID,1603937068,-10.17,123.58,88.86,54,2.24,0
284,vestmannaeyjar,IS,1603937070,63.44,-20.27,45.88,79,44.27,49
285,baruun-urt,MN,1603936510,46.68,113.28,40.14,52,14.97,3
286,chapais,CA,1603936533,49.78,-74.85,30.2,92,9.17,90
287,mopipi,BW,1603936549,-21.18,24.88,75.18,24,14.23,0
288,havelock,US,1603937071,34.88,-76.9,72.0,88,4.7,1
289,vilhena,BR,1603937071,-12.74,-60.15,71.64,95,3.38,100
290,macamic,CA,1603937072,48.75,-79.0,32.0,98,5.82,90
291,haines junction,CA,1603936534,60.75,-137.51,26.6,79,2.1,99
292,chuy,UY,1603937072,-33.7,-53.46,55.26,78,10.36,55
293,ca mau,VN,1603937073,9.18,105.15,80.78,85,4.99,97
294,caraquet,CA,1603937073,47.79,-64.94,32.0,85,5.82,100
295,nichinan,JP,1603936552,31.6,131.37,68.0,68,3.36,75
296,karratha,AU,1603937074,-20.74,116.85,83.57,51,9.71,1
297,hasaki,JP,1603937074,35.73,140.83,71.01,46,8.05,20
298,skelleftea,SE,1603937074,64.75,20.95,42.8,93,4.7,99
299,ayan,RU,1603937075,56.45,138.17,34.7,97,15.59,100
300,kijang,KR,1603937075,35.24,129.21,57.2,35,8.05,0
301,carutapera,BR,1603937033,-1.2,-46.02,78.1,85,6.35,81
302,tha chang,TH,1603937075,9.26,99.19,84.99,74,6.87,100
303,montepulciano,IT,1603937076,43.1,11.79,48.99,85,1.7,37
304,olafsvik,IS,1603937076,64.89,-23.71,42.03,71,27.11,70
305,portland,US,1603936653,45.52,-122.68,59.0,80,1.01,48
306,ararangua,BR,1603937077,-28.93,-49.49,64.4,92,1.34,0
307,marystown,CA,1603937077,47.17,-55.15,35.56,80,5.48,100
308,mankono,CI,1603937077,8.06,-6.19,72.86,74,3.2,15
309,waddan,LY,1603937078,29.16,16.14,56.79,78,3.18,0
310,sinnamary,GF,1603937078,5.38,-52.95,80.65,82,12.28,5
311,karasjok,NO,1603937078,69.47,25.51,26.6,86,6.93,95
312,turkan,AZ,1603936811,40.36,50.22,60.8,82,9.17,0
313,waingapu,ID,1603937079,-9.66,120.26,86.7,64,13.06,34
314,berezovyy,RU,1603937079,51.67,135.7,39.06,71,3.89,60
315,bilma,NE,1603937079,18.69,12.92,68.68,21,4.38,0
316,chilca,PE,1603936902,-12.52,-76.74,62.6,82,14.99,90
317,sistranda,NO,1603937080,63.73,8.83,41.0,86,8.05,0
318,panzhihua,CN,1603937080,26.59,101.71,71.78,70,1.39,52
319,pula,HR,1603937081,44.87,13.85,51.8,87,6.93,0
320,almeirim,BR,1603937081,-1.52,-52.58,82.04,67,6.26,46
321,najran,SA,1603937081,17.49,44.13,57.2,33,2.24,0
322,gravelbourg,CA,1603937082,49.88,-106.55,28.4,86,6.93,100
323,newport,GB,1603936866,51.59,-3.0,53.01,81,3.0,100
324,kaihua,CN,1603937082,23.37,104.28,58.32,89,8.19,100
325,cam ranh,VN,1603936946,11.92,109.16,82.4,74,2.24,40
326,encheng,CN,1603937083,22.18,112.3,70.34,91,10.22,100
327,kiruna,SE,1603937084,67.86,20.23,23.0,100,3.83,100
328,rio grande,BR,1603936856,-32.03,-52.1,64.99,95,18.19,94
329,dingle,PH,1603937085,11.0,122.67,85.06,77,7.94,16
330,khotyn,UA,1603937085,48.48,26.5,53.01,100,3.69,90
331,zhigansk,RU,1603937085,66.77,123.37,-7.29,90,4.94,18
332,saskylakh,RU,1603937086,71.92,114.08,-0.02,90,8.25,75
333,champerico,GT,1603937086,14.3,-91.92,70.0,96,5.86,100
334,boyolangu,ID,1603937086,-8.12,111.89,84.34,67,5.17,10
335,okha,RU,1603937087,53.57,142.95,41.79,72,5.48,4
336,kulhudhuffushi,MV,1603937087,6.62,73.07,82.67,72,6.91,8
337,tura,IN,1603937087,25.52,90.22,75.85,82,2.57,0
338,berlevag,NO,1603937088,70.86,29.09,36.39,91,11.95,100
339,kutum,SD,1603937088,14.2,24.67,71.74,26,10.78,0
340,brownsville,US,1603937088,25.9,-97.5,64.4,67,3.36,1
341,porbandar,IN,1603937089,21.64,69.61,77.25,62,7.29,0
342,pakala,IN,1603937089,13.47,79.12,72.45,76,4.21,97
343,buraydah,SA,1603937089,26.33,43.98,62.6,36,3.62,0
344,cacu,BR,1603937090,-18.56,-51.13,74.26,79,6.58,77
345,tazovskiy,RU,1603937090,67.47,78.7,-3.71,87,7.18,0
346,georgetown,MY,1603936889,5.41,100.34,80.6,83,5.82,20
347,takaka,NZ,1603937090,-40.85,172.8,55.99,91,5.99,100
348,chebsara,RU,1603937091,59.2,38.84,42.82,95,8.08,92
349,linxia,CN,1603937091,35.6,103.21,42.96,62,0.49,0
350,palmer,US,1603936955,42.16,-72.33,48.0,100,3.38,90
351,havre-saint-pierre,CA,1603936528,50.23,-63.6,30.2,68,4.7,90
352,mayskiy,RU,1603937092,47.69,40.1,50.0,61,13.42,40
353,port macquarie,AU,1603937093,-31.43,152.92,69.8,68,8.05,90
354,constitucion,CL,1603937093,-35.33,-72.42,53.33,67,10.36,0
355,caxito,AO,1603937093,-8.58,13.66,73.4,94,3.36,75
356,dafeng,CN,1603937093,23.45,108.59,64.69,78,8.99,100
357,santa maria,BR,1603936940,-29.68,-53.81,62.02,73,2.98,1
358,petukhovo,RU,1603937094,55.07,67.9,32.2,94,11.77,98
359,segou,ML,1603937094,13.43,-6.22,74.86,19,5.06,0
360,hirosaki,JP,1603937095,40.59,140.47,57.0,76,11.41,75
361,roald,NO,1603937095,62.58,6.13,46.4,87,8.05,100
362,bonthe,SL,1603937095,7.53,-12.51,78.76,87,7.43,98
363,toamasina,MG,1603937096,-18.17,49.38,71.6,94,6.93,40
364,marzuq,YE,1603937096,14.4,46.47,59.38,32,2.89,0
365,saint-georges,GD,1603936799,12.06,-61.75,80.6,88,18.34,75
366,cooma,AU,1603937097,-36.23,149.13,60.8,55,4.7,64
367,verkhoyansk,RU,1603936867,67.54,133.38,4.68,92,1.81,100
368,hjelset,NO,1603937097,62.78,7.48,46.4,81,14.99,90
369,gaoua,BF,1603937098,10.3,-3.25,73.47,41,1.54,0
370,baiyin,CN,1603937098,36.56,104.21,46.0,92,4.47,0
371,ha tinh,VN,1603936912,18.33,105.9,77.76,88,16.42,100
372,manado,ID,1603937099,1.49,124.85,85.84,60,0.51,100
373,williston,US,1603937067,48.15,-103.62,35.01,81,5.21,96
374,dharchula,IN,1603937099,29.85,80.53,58.59,31,3.09,0
375,jamalpur,BD,1603937049,24.92,89.93,77.63,81,3.74,0
376,magaria,NE,1603937100,13.0,8.91,76.35,22,7.61,0
377,pisco,PE,1603937100,-13.7,-76.22,63.0,82,18.34,0
378,alta floresta,BR,1603937101,-9.88,-56.09,76.51,78,2.51,97
379,samarai,PG,1603937101,-10.62,150.67,82.06,76,5.99,87
380,cabatuan,PH,1603937102,10.88,122.49,85.23,76,8.68,4
381,mason city,US,1603937002,43.15,-93.2,41.0,86,10.29,1
382,jieshi,CN,1603937102,22.81,115.83,78.01,76,1.01,100
383,shaunavon,CA,1603937103,49.65,-108.42,32.0,96,3.36,81
384,upata,VE,1603937106,8.01,-62.4,74.05,92,4.72,1
385,kidal,ML,1603936549,18.44,1.41,75.47,18,7.07,0
